HAUL_CYCLE_REC_IDENT,LOAD_START_TIMESTAMP,LOADING_EASTING,LOADING_NORTHING,LOADING_ELEVATION,LOAD_LOCATION_SNAME,BLOCK_SNAME,DUMP_LOCATION_SNAME
2707856,46:04.0,805030.9334,7510773.402,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707870,29:17.0,805678.9046,7512479.086,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2707874,52:53.0,798628.4152,7513566.692,NULL,ROM1_2_8_21,NULL,CRUSHER3
2707900,20:13.0,804526.1892,7510406.579,NULL,ROM2_1_5_9,NULL,CRUSHER2
2707911,24:05.0,804518.404,7510406.334,NULL,ROM2_1_5_9,NULL,CRUSHER1
2707918,27:47.0,804516.082,7510408.101,NULL,ROM2_1_5_9,NULL,CRUSHER2
2707921,27:19.0,804459.1463,7511140.935,NULL,ROM2_2_20_5,NULL,CRUSHER2
2707932,39:17.0,805674.3775,7512479.156,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2707938,39:21.0,805031.0954,7510790.694,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707950,43:20.0,805032.638,7510795.257,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707955,42:53.0,804487.5249,7511143.226,NULL,ROM2_2_20_5,NULL,CRUSHER2
2707959,45:00.0,804543.4809,7510407.593,NULL,ROM2_1_5_9,NULL,CRUSHER1
2707973,53:44.0,806557.6589,7510547.735,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708052,15:38.0,798687.2435,7513554.737,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708055,17:08.0,804499.5682,7511147.706,NULL,ROM2_2_20_5,NULL,CRUSHER1
2708088,28:29.0,804558.3025,7510420.639,NULL,ROM2_1_5_9,NULL,CRUSHER1
2708145,54:45.0,806553.952,7510514.252,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2708186,08:49.0,806553.497,7510507.32,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2708225,19:14.0,798694.2664,7513547.758,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708236,20:22.0,804466.1101,7511135.017,NULL,ROM2_2_20_5,NULL,CRUSHER1
2708247,25:38.0,798828.153,7513489.605,NULL,ROM1_2_10_31,NULL,CRUSHER3
2708249,30:31.0,806553.0988,7510497.425,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2708272,28:49.0,804530.6028,7510410.125,NULL,ROM2_1_5_20,NULL,CRUSHER1
2708275,32:32.0,804524.2491,7510408.348,NULL,ROM2_1_5_20,NULL,CRUSHER2
2708283,42:51.0,806551.6547,7510490.956,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708301,36:59.0,798709.7468,7513538.235,NULL,ROM1_2_8_21,NULL,CRUSHER3
2707670,43:31.0,804437.0479,7511135.88,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707682,47:32.0,804549.2024,7510406.643,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707736,01:53.0,804439.1172,7511138.256,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707754,07:54.0,798787.6057,7513507.641,NULL,ROM1_2_8_21,NULL,CRUSHER3
2707755,14:11.0,805022.5333,7510766.575,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707764,12:35.0,804451.2449,7511136.899,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707795,31:31.0,805695.5248,7512480.097,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2707808,34:33.0,805020.9212,7510765.811,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707810,35:39.0,805692.1197,7512479.964,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2707813,36:47.0,806555.8487,7510520.162,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2707830,40:47.0,804549.7199,7510412.23,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707832,38:28.0,806558.909,7510558.152,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2707843,38:20.0,798779.2204,7513512.359,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707852,45:59.0,804544.3094,7510411.124,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707853,47:17.0,805687.4688,7512479.138,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2707860,47:22.0,804449.5625,7511136.745,NULL,ROM2_2_20_5,NULL,CRUSHER2
2707883,55:40.0,804543.4433,7510402.591,NULL,ROM2_1_5_9,NULL,CRUSHER2
2707884,58:15.0,805037.2763,7510826.863,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707892,12:12.0,804534.0553,7510411.781,NULL,ROM2_1_5_9,NULL,CRUSHER1
2707897,10:05.0,798775.9881,7513510.467,NULL,ROM1_2_8_21,NULL,CRUSHER3
2707914,24:24.0,798791.3034,7513511.011,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707922,29:18.0,805029.1251,7510785.72,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707927,31:19.0,804467.6317,7511144.746,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707934,35:46.0,804500.052,7510403.574,NULL,ROM2_1_5_9,NULL,CRUSHER2
2707948,39:44.0,804474.7663,7511147.049,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707963,45:21.0,798681.5849,7513549.163,NULL,ROM1_2_8_21,NULL,CRUSHER3
2707980,52:00.0,804487.4472,7511146.945,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707992,56:13.0,805032.7779,7510802.637,NULL,ROM2_1_19_1,NULL,CRUSHER2
2708013,09:53.0,805663.7161,7512478.538,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2708014,02:15.0,804496.3267,7511149.706,NULL,ROM2_2_20_5,NULL,CRUSHER2
2708027,07:16.0,798682.641,7513549.377,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708032,14:32.0,804561.8253,7510417.555,NULL,ROM2_1_5_9,NULL,CRUSHER2
2708100,33:27.0,798693.3102,7513541.501,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708158,03:01.0,806554.0171,7510510.144,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708216,11:24.0,804542.9403,7510416.157,NULL,ROM2_1_5_20,NULL,CRUSHER2
2708231,23:05.0,806553.4033,7510503.328,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708239,19:41.0,804531.1033,7510414.96,NULL,ROM2_1_5_20,NULL,CRUSHER1
2708280,30:17.0,798701.7423,7513542.873,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708305,37:09.0,806552.4532,7510495.203,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708312,58:21.0,805009.0309,7510764.082,NULL,ROM2_1_19_1,NULL,CRUSHER1
2708325,44:08.0,798832.2414,7513486.334,NULL,ROM1_2_10_31,NULL,CRUSHER3
2708340,17:37.0,806557.3338,7510495.12,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708349,59:51.0,806556.9254,7510494.846,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2708376,59:08.0,804515.7833,7510405.131,NULL,ROM2_1_5_20,NULL,CRUSHER1
2708378,21:08.0,804920.2901,7510763.71,NULL,ROM2_1_19_1,NULL,CRUSHER1
2708390,03:37.0,804512.0068,7510410.32,NULL,ROM2_1_5_20,NULL,CRUSHER1
2708430,46:57.0,804944.4604,7510757.831,NULL,ROM2_1_19_1,NULL,CRUSHER1
2708458,28:55.0,798719.7948,7513528.932,NULL,ROM1_2_8_21,NULL,CRUSHER3
2708479,57:15.0,804898.6359,7510762.339,NULL,ROM2_1_19_1,NULL,CRUSHER1
2708486,33:58.0,798843.2065,7513484.516,NULL,ROM1_2_10_31,NULL,CRUSHER3
2708509,45:00.0,804540.0219,7510410.638,NULL,ROM2_1_5_20,NULL,CRUSHER1
